Code,Name,Category,Subcategory,Brand,UOM,Qty,Reorder,Cost,Price,Location
"ABR-1,""Cutting disc 4.5"""" × 1.6mm metal (100 pack)"",Repair Materials,Abrasives,,pack,12,6,795,1153,Abrasives Store"
"ABR-1,""Cutting disc 4.5"""" × 1.6mm metal (100 pack)"",Repair Materials,Abrasives,,pack,12,6,795,1153,Abrasives Store"
"ABR-10,""Grinding disc 7"""" × 6mm (25 pack)"",Repair Materials,Abrasives,,pack,8,6,3776,5476,Abrasives Store"
"ABR-10,""Grinding disc 7"""" × 6mm (25 pack)"",Repair Materials,Abrasives,,pack,8,6,3776,5476,Abrasives Store"
"ABR-11,""Grinding disc 9"""" × 6mm (25 pack)"",Repair Materials,Abrasives,,pack,27,6,4108,5956,Abrasives Store"
"ABR-11,""Grinding disc 9"""" × 6mm (25 pack)"",Repair Materials,Abrasives,,pack,27,6,4108,5956,Abrasives Store"
"ABR-12,""Flap disc 4.5"""" 40 grit zirconia (10 pack)"",Repair Materials,Abrasives,,pack,46,6,4439,6437,Abrasives Store"
"ABR-12,""Flap disc 4.5"""" 40 grit zirconia (10 pack)"",Repair Materials,Abrasives,,pack,46,6,4439,6437,Abrasives Store"
"ABR-13,""Flap disc 4.5"""" 60 grit zirconia (10 pack)"",Repair Materials,Abrasives,,pack,7,6,4770,6917,Abrasives Store"
"ABR-13,""Flap disc 4.5"""" 60 grit zirconia (10 pack)"",Repair Materials,Abrasives,,pack,7,6,4770,6917,Abrasives Store"
"ABR-14,""Flap disc 4.5"""" 80 grit zirconia (10 pack)"",Repair Materials,Abrasives,,pack,26,6,5101,7397,Abrasives Store"
"ABR-14,""Flap disc 4.5"""" 80 grit zirconia (10 pack)"",Repair Materials,Abrasives,,pack,26,6,5101,7397,Abrasives Store"
"ABR-15,""Flap disc 4.5"""" 120 grit zirconia (10 pack)"",Repair Materials,Abrasives,,pack,45,6,5433,7877,Abrasives Store"
"ABR-15,""Flap disc 4.5"""" 120 grit zirconia (10 pack)"",Repair Materials,Abrasives,,pack,45,6,5433,7877,Abrasives Store"
"ABR-16,""Flap disc 7"""" 40 grit (10 pack)"",Repair Materials,Abrasives,,pack,6,6,5764,8358,Abrasives Store"
"ABR-16,""Flap disc 7"""" 40 grit (10 pack)"",Repair Materials,Abrasives,,pack,6,6,5764,8358,Abrasives Store"
"ABR-17,""Flap disc 7"""" 60 grit (10 pack)"",Repair Materials,Abrasives,,pack,25,6,6095,8838,Abrasives Store"
"ABR-17,""Flap disc 7"""" 60 grit (10 pack)"",Repair Materials,Abrasives,,pack,25,6,6095,8838,Abrasives Store"
"ABR-18,""Flap disc 7"""" 80 grit (10 pack)"",Repair Materials,Abrasives,,pack,44,6,6426,9319,Abrasives Store"
"ABR-18,""Flap disc 7"""" 80 grit (10 pack)"",Repair Materials,Abrasives,,pack,44,6,6426,9319,Abrasives Store"
"ABR-19,""Wire wheel cup 4"""" twist"",Repair Materials,Abrasives,,pcs,5,6,6758,9798,Abrasives Store"
"ABR-19,""Wire wheel cup 4"""" twist"",Repair Materials,Abrasives,,pcs,5,6,6758,9798,Abrasives Store"
"ABR-2,""Cutting disc 4.5"""" × 1.0mm thin metal (100 pack)"",Repair Materials,Abrasives,,pack,31,6,1126,1634,Abrasives Store"
