Brand,Model,Fault Code,Fault Description,Probable Cause,Solution,solution 2,solution 3,solutio 4,solution 4
Perkins,400 Series,E1001,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,400 Series,E1002,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,Check the fuel level; refill with clean diesel fuel. Inspect the fuel tank and lines for leaks. Test the fuel level sensor and wiring for faults (e.g.
Perkins,400 Series,E1003,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,Verify the electrical load for irregularities causing voltage spikes. Test the alternator voltage regulator for faults; replace if defective. Inspect alternator output cables for shorts to power. Check the alternator for internal faults (e.g.
Perkins,400 Series,E1004,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,Reduce the electrical load if exceeding the generator’s rated capacity. Inspect alternator output cables for loose or damaged connections. Test the alternator voltage regulator and excitation circuit; replace if faulty. Check the alternator belt for slip or wear; adjust or replace. Reset the fault on the control panel and restart. Consult the Atlas Copco QAS  or a technician if unresolved.[](s://slib//828175/Atlas-Copco-Qas-14.html?=33)
Perkins,400 Series,E1005,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,400 Series,E1006,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,Check the engine speed; ensure it meets nominal RPM (e.g., 1500 RPM for 50 Hz). Inspect the fuel system for restrictions
Perkins,400 Series,E1007,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,triggering a warning or shutdown.
Perkins,400 Series,E1008,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,400 Series,E1009,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,Reduce the electrical load by disconnecting non-essential appliances. Verify the load is within the generator’s rated capacity. Inspect alternator output cables for shorts or damage. Test the alternator for internal faults (e.g., shorted windings). Reset the fault on the control panel and restart.  to the Atlas Copco QAS  or a technician if unresolved.[](s://d/document/400051074/325182547-Atlas-Copco-Fault-Codes-pdf)
Perkins,400 Series,E1010,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,Check load distribution across all phases; redistribute loads to balance them. Inspect alternator output cables for loose or damaged connections. Test phase voltages with a multimeter to confirm balance. Check alternator windings for faults. Reset the fault on the control panel (e.g., Qc1001).  to the Atlas Copco QES  or a technician if unresolved.
